Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Tamil Nadu,India,2020-06-11 03:33:41,34914,307,18325,16282.0,2647223.0,35526.0
Tamil Nadu,India,2020-06-12 05:09:52,38716,349,20705,17662.0,2507973.0,33540.0
Tamil Nadu,India,2020-06-13 03:33:14,38716,349,20705,17662.0,492192.0,8336.0
Tamil Nadu,India,2020-06-14 03:33:15,40698,367,22047,18284.0,216915.0,3765.0
Tamil Nadu,India,2020-06-15 03:33:14,42687,397,23409,18881.0,2530665.0,33892.0
Tamil Nadu,India,2020-06-16 04:33:09,46504,479,25344,20681.0,2681846.0,36025.0
Tamil Nadu,India,2020-06-17 04:33:21,48019,528,26782,20709.0,2667613.0,35768.0
Tamil Nadu,India,2020-06-18 04:33:18,50193,576,27624,21993.0,-2174.0,-48.0
Tamil Nadu,India,2020-06-19 04:33:17,52334,625,28641,23068.0,199404.0,3409.0
Tamil Nadu,India,2020-06-20 04:33:19,54449,666,30271,23512.0,2650137.0,35491.0
Tamil Nadu,India,2020-06-21 04:33:19,56845,704,31316,24825.0,637185.0,10037.0
Tamil Nadu,India,2020-06-22 04:33:20,59377,757,32754,25866.0,2567988.0,34316.0
Tamil Nadu,India,2020-06-23 04:33:22,62087,794,34112,27181.0,692373.0,10660.0
Tamil Nadu,India,2020-06-24 04:33:28,64603,833,35339,28431.0,2668743.0,35742.0
Tamil Nadu,India,2020-06-25 05:26:54,67468,866,37763,28839.0,2584647.0,34561.0
Tamil Nadu,India,2020-06-26 04:33:43,70977,911,39999,30067.0,629216.0,9914.0
Tamil Nadu,India,2020-06-27 04:33:35,74622,957,41357,32308.0,77198.0,1210.0
Tamil Nadu,India,2020-06-28 04:34:04,78335,1025,44094,33216.0,11832.0,176.0
Tamil Nadu,India,2020-06-29 04:33:44,82275,1079,45537,35659.0,720067.0,10852.0
Tamil Nadu,India,2020-06-30 04:33:48,86224,1141,47749,37334.0,-11602.0,-184.0
Tamil Nadu,India,2020-07-01 04:33:52,90167,1201,50074,38892.0,2640349.0,35328.0
Tamil Nadu,India,2020-07-02 04:33:46,94049,1264,52926,39859.0,1537242.0,16741.0
Tamil Nadu,India,2020-07-03 04:33:54,98392,1321,56021,41050.0,714769.0,10738.0
Tamil Nadu,India,2020-07-04 04:33:51,102721,1385,58378,42958.0,258714.0,4854.0
Tamil Nadu,India,2020-07-05 04:33:46,107001,1450,60592,44959.0,2578873.0,34434.0
Tamil Nadu,India,2020-07-06 04:33:57,111151,1510,62778,46863.0,2617910.0,35003.0
Tamil Nadu,India,2020-07-07 04:34:00,114978,1571,66571,46836.0,732845.0,10886.0
Tamil Nadu,India,2020-07-08 05:33:48,118594,1636,71116,45842.0,2536978.0,33840.0
Tamil Nadu,India,2020-07-09 04:34:23,122350,1700,74167,46483.0,2456780.0,32667.0
Tamil Nadu,India,2020-07-10 04:34:24,126581,1765,78161,46655.0,643414.0,9840.0
Tamil Nadu,India,2020-07-11 04:34:26,130261,1829,82324,46108.0,3274501.0,35904.0
Tamil Nadu,India,2020-07-12 04:34:30,134226,1898,85915,46413.0,2607391.0,34801.0
Tamil Nadu,India,2020-07-13 04:43:04,138470,1966,89532,46972.0,353101.0,6265.0
Tamil Nadu,India,2020-07-14 04:34:46,142798,2032,92567,48199.0,2029953.0,23633.0
Tamil Nadu,India,2020-07-15 04:34:39,147324,2099,97310,47915.0,2744635.0,34857.0
Tamil Nadu,India,2020-07-16 04:44:59,151820,2167,102310,47343.0,127324.0,2404.0
Tamil Nadu,India,2020-07-17 04:34:50,156369,2236,107416,46717.0,2428600.0,32226.0
Tamil Nadu,India,2020-07-18 04:34:45,160907,2315,110807,47785.0,772527.0,10593.0
Tamil Nadu,India,2020-07-19 04:34:58,165714,2403,113856,49455.0,3087037.0,35009.0
Tamil Nadu,India,2020-07-20 05:34:40,170693,2481,117915,50297.0,639387.0,9543.0
Tamil Nadu,India,2020-07-21 04:38:46,175678,2551,121776,51351.0,327081.0,5830.0
Tamil Nadu,India,2020-07-22 04:34:42,180643,2626,126670,51347.0,465485.0,7494.0
Tamil Nadu,India,2020-07-23 05:15:04,186492,3144,131583,51765.0,669185.0,9377.0
Tamil Nadu,India,2020-07-24 05:30:40,192964,3232,136793,52939.0,2513529.0,32959.0
Tamil Nadu,India,2020-07-25 04:47:39,199749,3320,143297,53132.0,532193.0,7894.0
Tamil Nadu,India,2020-07-26 04:35:00,206737,3409,151055,52273.0,-175446.0,-3022.0
Tamil Nadu,India,2020-07-27 04:35:02,213723,3494,156526,53703.0,-91373.0,-1794.0
Tamil Nadu,India,2020-07-28 04:58:43,220716,3571,162249,54896.0,619644.0,8804.0
Tamil Nadu,India,2020-07-29 04:35:11,220716,3571,162249,54896.0,2305685.0,29986.0
Tamil Nadu,India,2020-07-30 04:35:05,234114,3741,172883,57490.0,2022567.0,23615.0
Tamil Nadu,India,2020-07-31 04:35:18,239978,3838,178178,57962.0,3157260.0,33858.0
Tamil Nadu,India,2020-08-01 04:36:27,245859,3935,183956,57968.0,605204.0,8558.0
Tamil Nadu,India,2020-08-02 04:34:47,251738,4034,190966,56738.0,2419673.0,31648.0
Tamil Nadu,India,2020-08-03 04:34:35,257613,4132,196483,56998.0,2386070.0,31178.0
Tamil Nadu,India,2020-08-04 04:41:59,263222,4241,202283,56698.0,1579122.0,16227.0
Tamil Nadu,India,2020-08-05 04:34:43,268285,4349,208784,55152.0,2428043.0,31684.0
Tamil Nadu,India,2020-08-06 04:35:02,273460,4461,214815,54184.0,-112553.0,-2146.0
Tamil Nadu,India,2020-08-07 04:35:11,279144,4571,221087,53486.0,1130093.0,11309.0
Tamil Nadu,India,2020-08-08 04:34:53,285024,4690,227575,52759.0,478258.0,6841.0
Tamil Nadu,India,2020-08-09 04:34:54,290907,4808,232618,53481.0,-175929.0,-3237.0
Tamil Nadu,India,2020-08-10 04:34:55,296901,4927,238638,53336.0,437528.0,6317.0
Tamil Nadu,India,2020-08-11 04:35:08,302815,5041,244675,53099.0,2312057.0,29880.0
Tamil Nadu,India,2020-08-12 04:27:29,308649,5159,250680,52810.0,515337.0,7041.0
Tamil Nadu,India,2020-08-13 04:29:15,314520,5278,256313,52929.0,-138842.0,-2727.0
Tamil Nadu,India,2020-08-14 04:51:19,320355,5397,261459,53499.0,523818.0,7011.0
Tamil Nadu,India,2020-08-15 04:27:31,326245,5514,267015,53716.0,2388585.0,30770.0
Tamil Nadu,India,2020-08-16 04:27:42,332105,5641,272251,54213.0,-41198.0,-833.0
Tamil Nadu,India,2020-08-17 04:27:20,338055,5766,278270,54019.0,515937.0,6747.0
Tamil Nadu,India,2020-08-18 04:27:56,343945,5886,283937,54122.0,2223456.0,28311.0
Tamil Nadu,India,2020-08-19 04:27:00,349654,6007,289787,53860.0,2260645.0,28849.0
Tamil Nadu,India,2020-08-20 04:27:43,355449,6123,296171,53155.0,2213949.0,28107.0
Tamil Nadu,India,2020-08-21 04:27:41,361435,6239,301913,53283.0,487731.0,6233.0
Tamil Nadu,India,2020-08-22 04:27:49,367430,6340,307677,53413.0,-264709.0,-4955.0
Tamil Nadu,India,2020-08-23 04:27:48,373410,6420,313280,53710.0,2257182.0,28699.0
Tamil Nadu,India,2020-08-24 04:27:56,379385,6517,319327,53541.0,-82484.0,-1590.0
Tamil Nadu,India,2020-08-25 04:28:02,385352,6614,325456,53282.0,2195742.0,27781.0
Tamil Nadu,India,2020-08-26 04:28:11,391303,6721,332454,52128.0,178067.0,2427.0
Tamil Nadu,India,2020-08-27 04:28:15,397261,6839,338060,52362.0,2166283.0,27291.0
Tamil Nadu,India,2020-08-28 04:28:11,403242,6948,343930,52364.0,-157383.0,-3013.0
Tamil Nadu,India,2020-08-29 04:28:19,409238,7050,349682,52506.0,2325477.0,29549.0
Tamil Nadu,India,2020-08-30 04:28:22,415590,7137,355727,52726.0,-101070.0,-1859.0
Tamil Nadu,India,2020-08-31 04:28:27,422085,7231,362133,52721.0,413718.0,5094.0
Tamil Nadu,India,2020-09-01 04:28:31,428041,7322,368141,52578.0,17810.0,286.0
Tamil Nadu,India,2020-09-02 04:28:25,433969,7418,374172,52379.0,2292948.0,29063.0
Tamil Nadu,India,2020-09-03 04:28:22,439959,7516,380063,52380.0,2291276.0,29023.0
Tamil Nadu,India,2020-09-04 04:28:26,445851,7608,386173,52070.0,391476.0,4737.0
Tamil Nadu,India,2020-09-05 04:28:19,451827,7687,392507,51633.0,-416913.0,-7380.0
Tamil Nadu,India,2020-09-06 04:28:33,457697,7748,398366,51583.0,156810.0,1970.0
Tamil Nadu,India,2020-09-07 04:28:30,463480,7836,404186,51458.0,177463.0,2216.0
Tamil Nadu,India,2020-09-08 04:28:25,469256,7925,410116,51215.0,2215385.0,27944.0
Tamil Nadu,India,2020-09-09 04:28:48,474940,8012,416715,50213.0,2277916.0,28784.0
Tamil Nadu,India,2020-09-10 04:29:01,480524,8090,423231,49203.0,315951.0,3780.0
Tamil Nadu,India,2020-09-11 04:46:23,486052,8154,429416,48482.0,380930.0,4445.0
Tamil Nadu,India,2020-09-12 04:25:05,491571,8231,435422,47918.0,266620.0,3247.0
Tamil Nadu,India,2020-09-13 04:30:52,497066,8307,441649,47110.0,363496.0,4244.0
Tamil Nadu,India,2020-09-14 04:26:00,502759,8381,447366,47012.0,966105.0,8090.0
Tamil Nadu,India,2020-09-15 03:22:50,502759,8381,447366,47012.0,1620270.0,16341.0
Tamil Nadu,India,2020-09-16 04:22:53,514208,8502,458900,46806.0,325144.0,3865.0
Tamil Nadu,India,2020-09-17 04:22:00,519860,8559,464668,46633.0,304126.0,3641.0
Tamil Nadu,India,2020-09-18 05:05:00,525420,8618,470192,46610.0,702644.0,5850.0
Tamil Nadu,India,2020-09-19 04:22:00,530908,8685,475717,46506.0,1565608.0,15547.0
Tamil Nadu,India,2020-09-20 04:22:00,536477,8751,481273,46453.0,2120789.0,26739.0
Tamil Nadu,India,2020-09-21 04:23:00,541993,8811,486479,46703.0,291018.0,3488.0
Tamil Nadu,India,2020-09-22 04:23:00,547337,8871,491971,46495.0,143599.0,1820.0
Tamil Nadu,India,2020-09-23 04:23:00,552674,8947,497377,46350.0,286168.0,3416.0
Tamil Nadu,India,2020-09-24 04:23:00,557999,9010,502740,46249.0,284731.0,3381.0
Tamil Nadu,India,2020-09-25 04:23:00,563691,9076,508210,46405.0,322982.0,3643.0
Tamil Nadu,India,2020-09-26 04:23:00,569370,9148,513836,46386.0,293004.0,3416.0
Tamil Nadu,India,2020-09-27 04:23:00,575017,9233,519448,46336.0,-480968.0,-7969.0
Tamil Nadu,India,2020-09-28 04:23:00,580808,9313,525154,46341.0,1868769.0,22588.0
Tamil Nadu,India,2020-09-29 04:23:42,586397,9383,530708,46306.0,125316.0,1573.0
Tamil Nadu,India,2020-09-30 04:23:33,591943,9453,536209,46281.0,1973509.0,24706.0
Tamil Nadu,India,2020-10-01 04:23:42,597602,9520,541819,46263.0,244195.0,2863.0
Tamil Nadu,India,2020-10-02 04:23:51,603290,9586,547335,46369.0,2119216.0,26829.0
Tamil Nadu,India,2020-10-03 04:23:40,608885,9653,552938,46294.0,127892.0,1619.0
Tamil Nadu,India,2020-10-04 04:23:44,614507,9718,558534,46255.0,2111690.0,26754.0
Tamil Nadu,India,2020-10-05 04:23:33,619996,9784,564092,46120.0,2180290.0,27071.0
Tamil Nadu,India,2020-10-06 04:23:33,625391,9846,569664,45881.0,2538814.0,27418.0
Tamil Nadu,India,2020-10-07 04:23:40,630408,9917,575212,45279.0,162380.0,1905.0
Tamil Nadu,India,2020-10-08 04:23:56,635855,9984,580736,45135.0,263952.0,2794.0
Tamil Nadu,India,2020-10-09 04:23:59,640943,10052,586454,44437.0,890434.0,7004.0
Tamil Nadu,India,2020-10-10 04:23:57,646128,10120,591811,44197.0,202147.0,2340.0
Tamil Nadu,India,2020-10-11 04:23:46,651370,10187,597033,44150.0,2335884.0,26851.0
Tamil Nadu,India,2020-10-12 04:23:45,656385,10252,602038,44095.0,1966293.0,24766.0
Tamil Nadu,India,2020-10-13 04:24:02,661264,10314,607203,43747.0,2038290.0,25758.0
