Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Chhattisgarh,India,2020-06-11 03:33:41,1240,6,386,848.0,1063.0,6.0
Chhattisgarh,India,2020-06-12 05:09:52,1398,6,447,945.0,1004042.0,13562.0
Chhattisgarh,India,2020-06-13 03:33:14,1398,6,447,945.0,1264.0,7.0
Chhattisgarh,India,2020-06-14 03:33:15,1429,6,550,873.0,239434.0,2913.0
Chhattisgarh,India,2020-06-15 03:33:14,1512,6,631,875.0,890819.0,11283.0
Chhattisgarh,India,2020-06-16 04:33:09,1756,8,890,858.0,603812.0,6666.0
Chhattisgarh,India,2020-06-17 04:33:21,1781,9,1036,736.0,306437.0,3746.0
Chhattisgarh,India,2020-06-18 04:33:18,1864,10,1180,674.0,1003935.0,13562.0
Chhattisgarh,India,2020-06-19 04:33:17,1946,10,1228,708.0,1004175.0,13573.0
Chhattisgarh,India,2020-06-20 04:33:19,2028,10,1331,687.0,88889.0,708.0
Chhattisgarh,India,2020-06-21 04:33:19,2041,11,1394,636.0,7344.0,44.0
Chhattisgarh,India,2020-06-22 04:33:20,2275,11,1447,817.0,311533.0,3843.0
Chhattisgarh,India,2020-06-23 04:33:22,2303,12,1513,778.0,200220.0,2452.0
Chhattisgarh,India,2020-06-24 04:33:28,2362,12,1553,797.0,327332.0,3999.0
Chhattisgarh,India,2020-06-25 05:26:54,2419,12,1627,780.0,102314.0,836.0
Chhattisgarh,India,2020-06-26 04:33:43,2452,12,1755,685.0,1003202.0,13558.0
Chhattisgarh,India,2020-06-27 04:33:35,2545,13,1914,618.0,153442.0,1412.0
Chhattisgarh,India,2020-06-28 04:34:04,2545,13,1914,618.0,338971.0,4083.0
Chhattisgarh,India,2020-06-29 04:33:44,2662,13,2091,558.0,277845.0,3362.0
Chhattisgarh,India,2020-06-30 04:33:48,2761,13,2173,575.0,1052992.0,13634.0
Chhattisgarh,India,2020-07-01 04:33:52,2860,13,2250,597.0,1002519.0,13553.0
Chhattisgarh,India,2020-07-02 04:33:46,2940,14,2303,623.0,1002462.0,13552.0
Chhattisgarh,India,2020-07-03 04:33:54,3013,14,2385,614.0,-985.0,-4.0
Chhattisgarh,India,2020-07-04 04:33:51,3065,14,2437,614.0,11416.0,116.0
Chhattisgarh,India,2020-07-05 04:33:46,3161,14,2549,598.0,1024272.0,13605.0
Chhattisgarh,India,2020-07-06 04:33:57,3207,14,2601,592.0,1004005.0,13580.0
Chhattisgarh,India,2020-07-07 04:34:00,3305,14,2667,624.0,279063.0,3386.0
Chhattisgarh,India,2020-07-08 05:33:48,3415,14,2751,650.0,1002266.0,13556.0
Chhattisgarh,India,2020-07-09 04:34:23,3525,14,2835,676.0,235690.0,2878.0
Chhattisgarh,India,2020-07-10 04:34:24,3675,15,2903,757.0,1000745.0,13540.0
Chhattisgarh,India,2020-07-11 04:34:26,3767,17,3028,722.0,1002329.0,13563.0
Chhattisgarh,India,2020-07-12 04:34:30,3897,17,3070,810.0,570402.0,6257.0
Chhattisgarh,India,2020-07-13 04:43:04,4059,19,3153,887.0,999687.0,13528.0
Chhattisgarh,India,2020-07-14 04:34:46,4217,19,3202,996.0,999717.0,13530.0
Chhattisgarh,India,2020-07-15 04:34:39,4379,20,3275,1084.0,1001448.0,13552.0
Chhattisgarh,India,2020-07-16 04:44:59,4539,20,3324,1195.0,414139.0,4634.0
Chhattisgarh,India,2020-07-17 04:34:50,4732,21,3451,1260.0,280854.0,3426.0
Chhattisgarh,India,2020-07-18 04:34:45,4964,23,3512,1429.0,121041.0,1058.0
Chhattisgarh,India,2020-07-19 04:34:58,5233,24,3658,1551.0,1000614.0,13548.0
Chhattisgarh,India,2020-07-20 05:34:40,5407,24,3775,1608.0,3132.0,24.0
Chhattisgarh,India,2020-07-21 04:38:46,5561,25,3944,1592.0,241248.0,2964.0
Chhattisgarh,India,2020-07-22 04:34:42,5729,29,4114,1586.0,466265.0,5158.0
Chhattisgarh,India,2020-07-23 05:15:04,5968,29,4230,1709.0,305712.0,3784.0
Chhattisgarh,India,2020-07-24 05:30:40,6254,30,4377,1847.0,994783.0,13481.0
Chhattisgarh,India,2020-07-25 04:47:39,6731,36,4567,2128.0,992419.0,13453.0
Chhattisgarh,India,2020-07-26 04:35:00,7087,39,4683,2365.0,77147.0,625.0
Chhattisgarh,India,2020-07-27 04:35:02,7450,43,4944,2463.0,223506.0,2758.0
Chhattisgarh,India,2020-07-28 04:58:43,7745,44,5172,2529.0,225090.0,2769.0
Chhattisgarh,India,2020-07-29 04:35:11,7745,44,5172,2529.0,989290.0,13423.0
Chhattisgarh,India,2020-07-30 04:35:05,8539,48,5636,2855.0,984145.0,13375.0
Chhattisgarh,India,2020-07-31 04:35:18,8761,51,5921,2789.0,658685.0,7485.0
Chhattisgarh,India,2020-08-01 04:36:27,9086,53,6230,2803.0,34077.0,303.0
Chhattisgarh,India,2020-08-02 04:34:47,9385,55,6610,2720.0,996541.0,13520.0
Chhattisgarh,India,2020-08-03 04:34:35,9531,58,6991,2482.0,282560.0,3479.0
Chhattisgarh,India,2020-08-04 04:41:59,9779,61,7256,2462.0,890146.0,11400.0
Chhattisgarh,India,2020-08-05 04:34:43,10202,69,7613,2520.0,992647.0,13464.0
Chhattisgarh,India,2020-08-06 04:35:02,10407,71,7871,2465.0,993823.0,13484.0
Chhattisgarh,India,2020-08-07 04:35:11,10932,77,8088,2767.0,872278.0,11017.0
Chhattisgarh,India,2020-08-08 04:34:53,11408,87,8319,3002.0,5425.0,71.0
Chhattisgarh,India,2020-08-09 04:34:54,11743,89,8582,3072.0,804746.0,9861.0
Chhattisgarh,India,2020-08-10 04:34:55,12148,96,8809,3243.0,993553.0,13474.0
Chhattisgarh,India,2020-08-11 04:35:08,12448,99,9013,3336.0,-9996.0,-87.0
Chhattisgarh,India,2020-08-12 04:27:29,12929,104,9239,3586.0,134937.0,1202.0
Chhattisgarh,India,2020-08-13 04:29:15,13498,109,9508,3881.0,-9439.0,-90.0
Chhattisgarh,India,2020-08-14 04:51:19,13937,114,9658,4165.0,81686.0,638.0
Chhattisgarh,India,2020-08-15 04:27:31,14481,130,9857,4494.0,989216.0,13416.0
Chhattisgarh,India,2020-08-16 04:27:42,14987,134,10046,4807.0,289332.0,3548.0
Chhattisgarh,India,2020-08-17 04:27:20,15471,141,10235,5095.0,989585.0,13420.0
Chhattisgarh,India,2020-08-18 04:27:56,16025,150,10598,5277.0,-11293.0,-129.0
Chhattisgarh,India,2020-08-19 04:27:00,16833,158,10847,5828.0,986245.0,13381.0
Chhattisgarh,India,2020-08-20 04:27:43,17485,161,11185,6139.0,3433.0,36.0
Chhattisgarh,India,2020-08-21 04:27:41,18501,168,11739,6594.0,175998.0,2148.0
Chhattisgarh,India,2020-08-22 04:27:49,19510,180,12022,7308.0,986923.0,13410.0
Chhattisgarh,India,2020-08-23 04:27:48,20078,189,12394,7495.0,258462.0,3161.0
Chhattisgarh,India,2020-08-24 04:27:56,20918,197,12931,7790.0,119340.0,1038.0
Chhattisgarh,India,2020-08-25 04:28:02,22054,206,13424,8424.0,286647.0,3560.0
Chhattisgarh,India,2020-08-26 04:28:11,23341,221,13732,9388.0,238560.0,2924.0
Chhattisgarh,India,2020-08-27 04:28:15,24550,231,14145,10174.0,184738.0,2314.0
Chhattisgarh,India,2020-08-28 04:28:11,25988,245,14607,11136.0,203215.0,2538.0
Chhattisgarh,India,2020-08-29 04:28:19,27233,251,15109,11873.0,88920.0,735.0
Chhattisgarh,India,2020-08-30 04:28:22,28746,262,15818,12666.0,981767.0,13342.0
Chhattisgarh,India,2020-08-31 04:28:27,30092,269,16303,13520.0,977649.0,13331.0
Chhattisgarh,India,2020-09-01 04:28:31,31503,277,16989,14237.0,-27978.0,-263.0
Chhattisgarh,India,2020-09-02 04:28:25,33387,287,17567,15533.0,971759.0,13276.0
Chhattisgarh,India,2020-09-03 04:28:22,35683,299,18220,17164.0,269006.0,3390.0
Chhattisgarh,India,2020-09-04 04:28:26,37967,315,18950,18702.0,-11979.0,-70.0
Chhattisgarh,India,2020-09-05 04:28:19,40634,337,19625,20672.0,967038.0,13261.0
Chhattisgarh,India,2020-09-06 04:28:33,43163,356,20487,22320.0,963243.0,13232.0
Chhattisgarh,India,2020-09-07 04:28:30,45263,380,21198,23685.0,934313.0,12812.0
Chhattisgarh,India,2020-09-08 04:28:25,47280,395,22177,24708.0,-42741.0,-375.0
Chhattisgarh,India,2020-09-09 04:28:48,50114,407,22792,26915.0,204015.0,2661.0
Chhattisgarh,India,2020-09-10 04:29:01,52932,477,24414,28041.0,-51503.0,-471.0
Chhattisgarh,India,2020-09-11 04:46:23,55680,493,25855,29332.0,179045.0,2337.0
Chhattisgarh,India,2020-09-12 04:25:05,58643,519,27123,31001.0,186937.0,2458.0
Chhattisgarh,India,2020-09-13 04:30:52,61763,539,27978,33246.0,944943.0,13054.0
Chhattisgarh,India,2020-09-14 04:26:00,63991,555,31931,31505.0,184241.0,2455.0
Chhattisgarh,India,2020-09-15 03:22:50,63991,555,31931,31505.0,940192.0,12999.0
Chhattisgarh,India,2020-09-16 04:22:53,70777,589,34279,35909.0,933266.0,12963.0
Chhattisgarh,India,2020-09-17 04:22:00,73966,611,35885,37470.0,234964.0,3160.0
Chhattisgarh,India,2020-09-18 05:05:00,77775,628,41111,36036.0,929300.0,12966.0
Chhattisgarh,India,2020-09-19 04:22:00,81617,645,44392,36580.0,-74530.0,-606.0
Chhattisgarh,India,2020-09-20 04:22:00,84234,664,46081,37489.0,1028861.0,13134.0
Chhattisgarh,India,2020-09-21 04:23:00,86183,677,47653,37853.0,921664.0,12923.0
Chhattisgarh,India,2020-09-22 04:23:00,88181,690,49564,37927.0,223719.0,3131.0
Chhattisgarh,India,2020-09-23 04:23:00,90917,718,52001,38198.0,915981.0,12875.0
Chhattisgarh,India,2020-09-24 04:23:00,93351,728,56773,35850.0,95462.0,1422.0
Chhattisgarh,India,2020-09-25 04:23:00,95623,752,58833,36038.0,-93582.0,-741.0
Chhattisgarh,India,2020-09-26 04:23:00,98565,777,66860,30928.0,22835.0,254.0
Chhattisgarh,India,2020-09-27 04:23:00,102461,817,70955,30689.0,549901.0,6493.0
Chhattisgarh,India,2020-09-28 04:23:00,104733,848,72224,31661.0,191893.0,2769.0
Chhattisgarh,India,2020-09-29 04:23:42,108458,877,74537,33044.0,898177.0,12716.0
Chhattisgarh,India,2020-09-30 04:23:33,110655,916,78514,31225.0,939573.0,12723.0
Chhattisgarh,India,2020-10-01 04:23:42,113602,957,81718,30927.0,-66322.0,-562.0
Chhattisgarh,India,2020-10-02 04:23:51,116153,986,84699,30468.0,192319.0,2773.0
Chhattisgarh,India,2020-10-03 04:23:40,118790,1002,88095,29693.0,880898.0,12492.0
Chhattisgarh,India,2020-10-04 04:23:44,121400,1031,91077,29292.0,-107902.0,-922.0
Chhattisgarh,India,2020-10-05 04:23:33,123324,1045,93731,28548.0,-110395.0,-941.0
Chhattisgarh,India,2020-10-06 04:23:33,126005,1081,97067,27857.0,938285.0,12583.0
Chhattisgarh,India,2020-10-07 04:23:40,128893,1104,100551,27238.0,867144.0,12353.0
Chhattisgarh,India,2020-10-08 04:23:56,131739,1134,103828,26777.0,874218.0,12441.0
Chhattisgarh,India,2020-10-09 04:23:59,134612,1158,106027,27427.0,-21010.0,-201.0
Chhattisgarh,India,2020-10-10 04:23:57,137570,1196,108935,27439.0,1007370.0,12792.0
Chhattisgarh,India,2020-10-11 04:23:46,140258,1235,111654,27369.0,448560.0,5232.0
Chhattisgarh,India,2020-10-12 04:23:45,142372,1253,113771,27348.0,-130629.0,-1164.0
Chhattisgarh,India,2020-10-13 04:24:02,145247,1286,116540,27421.0,164376.0,2497.0
Chhattisgarh,India,2020-10-14 04:24:05,147866,1306,119352,27208.0,148083.0,2295.0
Chhattisgarh,India,2020-10-15 04:24:28,150696,1339,121548,27809.0,854629.0,12226.0
Chhattisgarh,India,2020-10-16 04:24:01,153515,1385,123943,28187.0,186578.0,2691.0
Chhattisgarh,India,2020-10-17 04:24:12,155987,1425,126869,27693.0,-62636.0,-697.0
Chhattisgarh,India,2020-10-18 04:24:25,158502,1439,129883,27180.0,-154605.0,-1422.0
Chhattisgarh,India,2020-10-19 04:24:16,160396,1478,132168,26750.0,835093.0,11975.0
Chhattisgarh,India,2020-10-20 04:24:22,162772,1534,135259,25979.0,799596.0,11314.0
Chhattisgarh,India,2020-10-21 04:24:14,165279,1584,137986,25709.0,192699.0,2663.0
Chhattisgarh,India,2020-10-22 04:24:27,167639,1628,140216,25795.0,-164878.0,-1615.0
Chhattisgarh,India,2020-10-23 04:24:46,170130,1680,143212,25238.0,973864.0,12298.0
Chhattisgarh,India,2020-10-24 04:24:46,172580,1738,146222,24620.0,833472.0,11839.0
Chhattisgarh,India,2020-10-25 04:24:36,174591,1793,148899,23899.0,140049.0,2066.0
Chhattisgarh,India,2020-10-26 04:25:02,175959,1818,150398,23743.0,829428.0,11748.0
Chhattisgarh,India,2020-10-27 04:24:45,177608,1861,153654,22093.0,763758.0,10530.0
Chhattisgarh,India,2020-10-28 04:24:39,179654,1881,156080,21693.0,-171909.0,-1837.0
Chhattisgarh,India,2020-10-29 04:24:49,181583,1936.0,157480,22167.0,821375.0,11600.0
Chhattisgarh,India,2020-10-30 04:24:49,183588,1989,159268,22331.0,798272.0,11254.0
Chhattisgarh,India,2020-10-31 04:24:44,185306,2038,160918,22350.0,819963.0,11526.0
Chhattisgarh,India,2020-11-01 04:36:19,187270,2101,163079,22090.0,804383.0,11301.0
Chhattisgarh,India,2020-11-02 05:25:04,188813,2150,164537,22126.0,818633.0,11445.0
Chhattisgarh,India,2020-11-03 06:00:16,190513,2208,166391,21914.0,817484.0,11392.0
Chhattisgarh,India,2020-11-04 05:25:09,192237,2266,168201,21770.0,117973.0,1524.0
Chhattisgarh,India,2020-11-05 06:05:03,194499,2316,169410,22773.0,-183567.0,-2239.0
Chhattisgarh,India,2020-11-06 05:24:55,196233,2360,170760,23113.0,801740.0,11118.0
Chhattisgarh,India,2020-11-07 05:24:52,197991,2412,172513,23066.0,-160024.0,-2097.0
Chhattisgarh,India,2020-11-08 05:24:56,199562,2434,173872,23256.0,50137.0,591.0
Chhattisgarh,India,2020-11-09 05:25:45,200937,2447,176129,22361.0,803058.0,11104.0
Chhattisgarh,India,2020-11-10 05:40:07,202523,2464,178838.0,21221.0,805664.0,11136.0
Chhattisgarh,India,2020-11-11 05:25:30,204202,2482,180995.0,20725.0,800280.0,11073.0
Chhattisgarh,India,2020-11-12 05:25:55,205923,2507,183190.0,20226.0,799489.0,11061.0
Chhattisgarh,India,2020-11-13 05:25:30,207740,2527,185152,20061.0,932727.0,11424.0
Chhattisgarh,India,2020-11-14 05:25:37,209288,2545,187522,19221.0,-25700.0,-556.0
Chhattisgarh,India,2020-11-15 05:26:53,210004,2562,188167,19275.0,-208248.0,-2554.0
Chhattisgarh,India,2020-11-16 05:25:57,210534,2578,188869,19087.0,-206859.0,-2563.0
Chhattisgarh,India,2020-11-17 05:25:54,211644,2604,190463,18577.0,896806.0,11175.0
Chhattisgarh,India,2020-11-18 05:40:31,213365,2623,192181,18561.0,-211967.0,-2617.0
Chhattisgarh,India,2020-11-19 05:25:23,215413,2646,193997,18770.0,-213051.0,-2634.0
Chhattisgarh,India,2020-11-20 05:26:28,217562,2672,195469,19421.0,787106.0,10885.0
Chhattisgarh,India,2020-11-21 05:25:51,219404,2691,196896,19817.0,134400.0,1513.0
Chhattisgarh,India,2020-11-22 05:25:45,221688,2713,198316,20659.0,784830.0,10878.0
Chhattisgarh,India,2020-11-23 05:25:26,223436,2732,199311,21393.0,783531.0,10861.0
Chhattisgarh,India,2020-11-24 05:27:31,225497,2746,200825,21926.0,25623.0,292.0
Chhattisgarh,India,2020-11-25 05:27:20,227326,2767,201744,22815.0,141720.0,1552.0
Chhattisgarh,India,2020-11-26 05:27:44,229203,2783,201744,24676.0,-63924.0,-1199.0
Chhattisgarh,India,2020-11-27 05:26:53,230956,2801,204198,23957.0,889841.0,11023.0
Chhattisgarh,India,2020-11-28 05:25:50,232835,2813,208183,21839.0,773337.0,10771.0
Chhattisgarh,India,2020-11-29 05:25:55,234725,2830,210917,20978.0,772390.0,10764.0
Chhattisgarh,India,2020-11-30 05:26:13,235998,2840,212517,20641.0,762272.0,10638.0
Chhattisgarh,India,2020-12-01 05:26:18,237322,2861,214826,19635.0,-219837.0,-2700.0
Chhattisgarh,India,2020-12-02 05:27:41,239215,2892,216990,19333.0,-59561.0,-1011.0
Chhattisgarh,India,2020-12-03 05:28:22,240863,2919,218195,19749.0,766324.0,10675.0
Chhattisgarh,India,2020-12-04 05:27:27,242418,2941,220177,19300.0,47666.0,564.0
Chhattisgarh,India,2020-12-05 05:27:36,243997,2956,221690,19351.0,762132.0,10627.0
Chhattisgarh,India,2020-12-06 05:26:18,245580,2977,223070,19533.0,835598.0,10720.0
Chhattisgarh,India,2020-12-07 05:26:14,246809,2989,223772,20048.0,-243648.0,-2975.0
Chhattisgarh,India,2020-12-08 05:27:42,248232,3010,225633,19589.0,48094.0,599.0
Chhattisgarh,India,2020-12-09 05:28:01,249699,3025,227158,19516.0,41785.0,502.0
Chhattisgarh,India,2020-12-10 05:26:19,251120,3038,228304,19778.0,-142662.0,-2161.0
Chhattisgarh,India,2020-12-11 05:26:59,252638,3054,230238,19346.0,678573.0,9128.0
Chhattisgarh,India,2020-12-12 05:26:19,254129,3068,232715,18346.0,705415.0,9711.0
Chhattisgarh,India,2020-12-13 05:27:20,255761,3084,234037,18640.0,56658.0,749.0
Chhattisgarh,India,2020-12-14 05:26:27,257020,3097,234853,19070.0,-249275.0,-3053.0
